,in_prod_name,pro_status_cd,status_list,category,3,5,12,no_numbers
119,FPSFJCB-D10-L150-F13-M8-B10-N6,203-202-3-11-10-4-39-40,"['203', '202', '3', '11', '10', '4', '39', '40']",2,1,0,0,FPSFJCB-D-L-F-M-B-N
120,FPSFJCB-D10-L200-F13-M8-B10-N6,4-11-3-10-202-203-39-40,"['4', '11', '3', '10', '202', '203', '39', '40']",2,1,0,0,FPSFJCB-D-L-F-M-B-N
121,FPSFJCB-D10-L200-F13-M8-B10-N6,4-3-40-10-202-11-39-203,"['4', '3', '40', '10', '202', '11', '39', '203']",2,1,0,0,FPSFJCB-D-L-F-M-B-N
122,FPSFJCB-D10-L200-F13-M8-B10-N6,39-202-40-10-11-4-3-203,"['39', '202', '40', '10', '11', '4', '3', '203']",2,1,0,0,FPSFJCB-D-L-F-M-B-N
123,FPSFJCB-D12-L354-F10-M8-B7-N8,3-40-203-4-11-10-202-39,"['3', '40', '203', '4', '11', '10', '202', '39']",2,1,0,0,FPSFJCB-D-L-F-M-B-N
124,FPSFJCB-D15-L225-F15-M8-B12-N5-WSC0-X0,491-11-13-203-39-4-490-12-3-10-40-202,"['491', '11', '13', '203', '39', '4', '490', '12', '3', '10', '40', '202']",2,1,0,1,FPSFJCB-D-L-F-M-B-N-WSC-X
125,FPSFJCB-D16-L153-F19-M10-B16-N6-SC20,3-11-430-203-12-10-13-4-431-40-39-202,"['3', '11', '430', '203', '12', '10', '13', '4', '431', '40', '39', '202']",2,1,0,1,FPSFJCB-D-L-F-M-B-N-SC
126,FPSFJCB-D16-L160-F19-M10-B16-N6-SC20,13-203-11-202-10-4-3-12-430-431-39-40,"['13', '203', '11', '202', '10', '4', '3', '12', '430', '431', '39', '40']",2,1,0,1,FPSFJCB-D-L-F-M-B-N-SC
127,FPSFJCB-D16-L49-F20-M10-B8-N12,4-203-202-40-3-10-11-39,"['4', '203', '202', '40', '3', '10', '11', '39']",2,1,0,0,FPSFJCB-D-L-F-M-B-N
128,FPSFJCB-D20-L153-F19-M10-B16-N6-SC20,40-202-39-11-430-203-12-13-431-4-3-10,"['40', '202', '39', '11', '430', '203', '12', '13', '431', '4', '3', '10']",2,1,0,1,FPSFJCB-D-L-F-M-B-N-SC
129,FPSFJCB-D20-L220.9-F19-M10-B16-N6-LKC-SC20,11-202-431-3-10-4-13-12-430-40-39-203,"['11', '202', '431', '3', '10', '4', '13', '12', '430', '40', '39', '203']",2,1,0,1,FPSFJCB-D-L.-F-M-B-N-LKC-SC
130,FPSFJCB-D20-L234.3-F19-M10-B16-N6-LKC-SC20,11-203-13-431-12-40-10-430-39-3-202,"['11', '203', '13', '431', '12', '40', '10', '430', '39', '3', '202']",2,1,0,1,FPSFJCB-D-L.-F-M-B-N-LKC-SC
131,FPSFJCB-D20-L235.2-F19-M10-B16-N6-LKC-SC20,430-203-202-39-11-3-431-10-12-4-40-13,"['430', '203', '202', '39', '11', '3', '431', '10', '12', '4', '40', '13']",2,1,0,1,FPSFJCB-D-L.-F-M-B-N-LKC-SC
132,FPSFJCB-D20-L241.2-F19-M10-B16-N6-LKC-SC20,12-430-39-11-3-203-10-202-431-40-13-4,"['12', '430', '39', '11', '3', '203', '10', '202', '431', '40', '13', '4']",2,1,0,1,FPSFJCB-D-L.-F-M-B-N-LKC-SC
133,FPSFJCB-D20-L250.7-F19-M10-B16-N6-LKC-SC20,203-431-430-12-40-13-202-10-3-4-11-39,"['203', '431', '430', '12', '40', '13', '202', '10', '3', '4', '11', '39']",2,1,0,1,FPSFJCB-D-L.-F-M-B-N-LKC-SC
134,FPSFJCB-D25-L150-F19-M10-B16-N6-SC20,11-12-203-202-430-3-13-431-10-4-40-39,"['11', '12', '203', '202', '430', '3', '13', '431', '10', '4', '40', '39']",2,1,0,1,FPSFJCB-D-L-F-M-B-N-SC
