client_cd,order_cd,pro_seq,pro_status_cd
1242,312703,1,12-310-13-311-3-4-5-6-10-202-203-11-39-40
1242,312739,1,39-40-3-4-10-202-203-11
1242,312853,1,10-202-11-203-39-40
1242,312982,1,3-4-10-204-205-11-39-40
1242,312983,1,3-4-10-204-11-205-39-40
1242,312984,1,3-4-10-204-205-11-39-40
1242,313094,1,3-4-5-6-10-202-203-11-12-430-13-431-39-40
1242,313095,1,12-430-13-431-39-40-3-4-5-6-10-202-11-203
1242,313229,1,39-40-3-4-5-6-12-13-310-311-10-202-11-203
1242,313334,1,10-200-201-11-39-40
1242,313350,1,10-202-11-203-12-430-13-431-39-40-3-4-5-6
1242,313670,1,39-40-12-480-13-481-10-200-201-11
1242,313673,1,3-4-5-10-202-11-203-39-40
1242,313876,1,3-4-5-6-10-202-203-11-39-40
1242,313877,1,11-203-39-40-10-202
1253,501667,1,39-40-10-200-201-11
1253,501671,1,39-40-10-200-201-11
1259,7200,1,11-10-200-201-12-506-13-507-39-40
1259,7291,1,3-4-10-202-203-11-39-40
1441,200243,1,3-4-10-202-203-11-39-40
1484,5631,1,39-40-3-4-5-6-10-202-203-11
1484,5688,1,39-40-3-4-5-6-10-202-11-203
1484,5708,1,39-40-10-202-11-203-3-4
1484,5716,1,39-40-10-202-203-11
1484,5768,1,10-202-39-40-203-11-12-430-13-431
1484,5769,1,10-202-11-203-12-430-13-431-39-40
1535,508805,1,10-202-203-11-39-40-3-4-5-6
1535,508805,2,3-4-5-6-10-202-203-11-39-40
1535,508876,1,39-40-3-4-10-202-203-11
1535,508876,2,39-40-3-4-10-202-203-11
1535,508877,1,11-12-430-13-431-39-40-3-4-5-6-10-202-203
1535,508877,2,203-11-12-430-13-431-39-40-3-4-5-6-10-202
1535,508908,1,203-11-39-40-10-202-3-4
1535,508909,1,10-202-11-203-39-40-3-4
1535,509080,1,39-40-3-4-5-10-202-11-203-12-430-13-431
1535,509122,1,3-4-10-202-203-11-39-40
1535,509123,1,3-4-10-202-203-11-39-40
1535,509155,1,39-40-3-4-10-202-203-11
1614,503581,1,3-4-10-202-11-203-39-40
1653,503881,1,39-40-3-4-5-6-10-202-203-11
1736,980,1,10-200-201-11-39-40
1736,981,1,10-200-201-11-39-40
1815,507375,1,39-40-8-200-11-201-12-430-13-431
1815,507375,2,39-40-8-200-201-11-12-430-13-431
1815,507577,1,3-4-10-202-203-11-12-430-13-431-39-40
1815,507577,2,3-4-11-12-430-13-431-39-40
1862,503700,1,11-39-40-201-10-200
1869,12199,1,3-4-10-204-11-205-39-40
1869,12199,2,3-10-204-205-11-39-40
1869,12199,3,3-4-10-204-11-205-39-40
1869,12200,1,3-4-11-39-40
1869,12203,1,3-4-39-40-10-204-205-11
1869,12203,2,3-4-39-40-10-204-205-11
1869,12203,3,3-4-39-40-10-204-205-11
1869,12203,4,3-4-39-40-10-204-205-11
1869,12203,5,3-4-39-40-10-204-205-11
1869,12203,6,3-4-39-40-10-204-205-11
1869,12203,7,3-4-39-40-10-204-205-11
1869,12203,8,3-4-39-40-10-204-205-11
1871,207141,1,39-40-3-4-10-202-203-11
1871,207161,1,39-40-3-4-10-202-203-11
1871,207232,1,39-40-3-4-10-202-203-11
1871,207248,1,39-40-10-200-201-11
1871,207252,1,39-40-3-4-10-202-203-11
1871,207268,1,39-40-10-200-201-11
1871,207274,1,39-40-3-4-10-204-205-11
1871,207290,1,39-40-10-200-201-11
1871,207909,1,39-40-11-12-480-13-481-10-200-201
1871,207910,1,3-4-5-6-10-202-203-11-12-490-13-491-39-40
1871,208027,1,10-200-11-201-39-40
1871,208028,1,10-200-11-201-39-40
1871,208031,1,3-4-5-6-10-202-11-203-12-430-13-431-39-40
1871,208032,1,12-430-431-444-13-445-11-39-40-10-200-201
1871,208033,1,12-10-200-480-13-481-39-40-11-201
1871,208034,1,10-200-11-201-39-40
1871,208035,1,39-40-12-490-13-491-3-4-10-202-203-11
1871,208153,1,10-200-11-201-39-40
1871,208154,1,10-200-11-201-39-40
1871,208159,1,10-202-203-11-39-40-3-4
1915,542237,1,11-39-40-3-4-10-204-205
1915,542519,1,10-202-203-11-12-430-13-431-39-40-3-4-5-6
1915,542926,1,3-4-10-202-11-203-12-430-13-431-39-40
1915,543055,1,10-202-203-11-39-40
2387,208353,1,3-4-10-11-202-203-39-40-12-430-13-431
2387,208406,1,3-10-202-203-11-12-488-13-489-39-40
2447,9215,1,39-40-3-4-10-202-203-11-12-430-13-431
2447,9324,1,10-202-203-11-39-40
2447,9331,1,33-3-4-10-202-39-40-11-32-203
2447,9500,1,3-4-10-202-11-203-39-40
2447,9561,1,203-11-39-40-10-202
2447,9563,1,39-40-10-200-201-11
2503,15159,1,39-40-3-4-5-10-202-203-11-12-430-13-431
2503,15161,1,39-40-3-4-10-202-203-11
2503,15165,1,39-40-3-4-5-6-12-430-13-431-10-202-203-11
2682,505064,1,10-200-201-12-430-13-431-39-40-11
2725,10606,1,10-202-11-203-12-430-13-431-39-40
2725,10628,1,12-430-13-431-39-40-3-4-10-202-203-11
2725,10629,1,39-40-3-4-5-6-10-202-203-11-12-430-13-431
2893,770,1,3-4-10-202-11-203-39-40
2901,211176,1,39-40-3-4-5-6-10-202-203-11
2901,211180,1,12-430-13-431-39-40-10-200-201-11
2901,211199,1,39-40-3-4-10-202-203-11
2901,211204,1,3-4-5-6-10-202-11-203-39-40
2901,211219,1,12-430-13-431-39-40-10-200-201-11
2901,211235,1,12-430-13-431-39-40-10-200-201-11
2901,211347,1,3-4-10-202-11-203-39-40
3039,13326,1,12-424-13-425-39-40-3-4-5-6-10-202-203-11
3039,13331,1,12-424-13-425-39-40-3-4-5-6-10-202-203-11
3060,503543,1,3-4-5-6-10-202-203-11-39-40
3112,207054,1,201-11-10-200-39-40-12-430-13-431
3112,207060,1,10-202-203-11-12-430-13-431-39-40-3-4-5-6
3112,207062,1,3-4-5-10-202-203-11-39-40
3112,207118,1,12-430-13-431-39-40-11-3-4-5-6-10-202-203
3112,207126,1,12-430-13-431-39-40-3-4-5-6-10-202-203-11
3112,207127,1,10-200-201-11-39-40
3112,207143,1,39-40-10-200-201-11
3112,207149,1,3-4-5-6-10-202-203-11-12-430-431-13-39-40
3112,207151,1,3-4-5-6-10-202-203-11-12-430-13-431-39-40
3112,207160,1,39-40-3-4-5-6-10-202-203-11-12-430-13-431
3112,207177,1,12-430-13-431-39-40-11-203-3-4-5-6-10-202
3112,207189,1,10-200-201-39-40-11
3112,207197,1,10-202-11-203-12-430-13-431-39-40
3112,207204,1,12-430-13-431-39-40-10-202-203-11
3112,207210,1,10-200-201-11-39-40
3112,207211,1,12-430-13-431-3-4-39-40-5-6-10-202-11-203
3112,207241,1,3-4-5-6-39-40-10-202-203-11-12-430-13-431
3112,207241,2,3-4-5-6-39-40-10-202-203-11-12-430-13-431
3112,207241,3,39-40-3-10-202-203-11-12-430-13-431
3112,207262,1,3-4-5-6-39-40-10-202-203-11-12-430-13-431
3118,506502,1,12-430-13-431-10-200-39-40-201-11
3118,506570,1,39-40-10-202-203-11
3118,506659,1,203-11-12-424-13-425-39-40-3-4-10-202
3129,8944,1,3-4-10-202-203-11-39-40
3129,8949,1,10-204-205-11-39-40-3-4
3129,9159,1,3-10-202-11-203-39-40
3129,9165,1,10-200-11-201-39-40
3139,902,1,3-4-10-202-203-11-39-40
3165,16815,1,3-4-10-202-203-11-39-40
3165,16826,1,3-4-10-202-39-40-203-11-12-430-13-431
3165,16835,1,3-4-5-6-39-40-10-202-203-11-12-430-13-431
3165,16840,1,3-4-5-6-39-40-10-202-203-11-12-430-13-431
3165,16933,1,3-4-5-6-10-202-203-11-39-40
3212,11267,1,39-40-3-4-10-202-203-11
3212,11517,1,10-202-203-11-39-40-3-4-5-6
3212,11891,1,39-40-3-4-5-6-10-202-203-11
3212,12062,1,39-40-10-200-201-11
3235,203694,1,39-40-3-4-5-6-11-12-430-13-431
3309,526,1,39-40-3-4-10-202-203-11
3309,534,1,10-200-201-11-39-40
3309,538,1,39-40-10-202-11-203-3-4
3309,539,1,39-40-11-203-3-4-10-202
3330,210312,1,39-40-3-4-10-202-11-203
3339,4430,1,39-40-10-202-11-203-3-4-5-6
3339,4492,1,39-40-3-4-10-202-203-11
3339,4529,1,10-200-201-11-39-40
3339,4529,2,10-200-201-11-39-40
3339,4529,3,10-200-201-11-39-40
4019,201188,1,39-40-12-430-13-431-3-4-10-202-11-203
4019,201192,1,39-40-3-4-5-6-10-202-203-11-12-430-13-431
4019,201197,1,12-430-13-431-11-39-40-3-4-10-202-203
4019,201202,1,12-430-13-431-203-11-39-40-3-4-10-202
4019,201206,1,10-202-203-11-39-40-12-430-13-431
4019,201207,1,39-40-12-430-13-431-3-4-10-202-203-11
4019,201212,1,203-11-12-430-13-431-10-202-39-40
4019,201216,1,12-430-13-431-39-40-3-4-10-202-203-11
4019,201220,1,11-12-430-13-431-10-202-203-39-40
4019,201221,1,10-202-203-11-39-40-12-430-13-431
4052,35983,1,12-430-13-431-10-200-39-40-201-11
4052,36689,1,12-430-13-431-10-200-39-40-201-11
4052,36698,1,12-13-430-431-10-200-39-40-201-11
4052,36707,1,12-430-13-431-10-200-39-40-201-11
4052,36716,1,12-430-13-431-10-200-39-40-201-11
4052,37424,1,3-4-10-202-203-11-39-40
4052,37898,1,39-40-10-200-201-11
4052,37914,1,10-204-205-11-39-40
4052,37914,2,205-11-39-40-10-204
